date,nav,amfi_code,scheme_name
2013-01-02,14.6967,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-03,14.7305,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-04,14.8037,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-05,14.8037,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-06,14.8037,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-07,14.7718,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-08,14.7197,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-09,14.7249,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-10,14.6784,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-11,14.6421,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-12,14.6421,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-13,14.6421,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-14,14.7844,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-15,14.8315,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-16,14.6876,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-17,14.7703,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-18,14.8654,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-19,14.8654,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-20,14.8654,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-21,14.9285,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-22,14.8574,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-23,14.7986,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-24,14.6226,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-25,14.7605,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-26,14.7605,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-27,14.7605,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-28,14.7737,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-29,14.681,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-30,14.6583,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-31,14.6179,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-01,14.5671,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-02,14.5671,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-03,14.5671,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-04,14.5479,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-05,14.4313,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-06,14.4775,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-07,14.4048,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-08,14.3212,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-09,14.3212,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-10,14.3212,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-11,14.2908,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-12,14.3298,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-13,14.3617,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-14,14.1541,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-15,14.1364,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-16,14.1364,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-17,14.1364,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-18,14.1843,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-19,14.2926,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-20,14.2782,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-21,14.0679,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-22,14.0985,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-23,14.0985,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-24,14.0985,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-25,14.0828,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-26,13.8873,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-27,13.9873,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-28,13.7174,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-01,13.8247,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-02,13.8247,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-03,13.8247,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-04,13.7577,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-05,13.9807,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-06,14.0779,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-07,14.1368,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-08,14.2733,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-09,14.2733,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-10,14.2733,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-11,14.2265,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-12,14.1646,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-13,13.9586,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-14,14.1321,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-15,14.0574,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-16,14.0574,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-17,14.0574,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-18,13.9688,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-19,13.7101,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-20,13.4866,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-21,13.4908,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-22,13.4563,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-23,13.4563,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-24,13.4563,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-25,13.4002,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-26,13.4772,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-27,13.4772,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-28,13.578,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-29,13.578,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-30,13.578,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-31,13.578,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-01,13.6324,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-02,13.8124,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-03,13.6549,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-04,13.4167,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-05,13.4782,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-06,13.4782,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-07,13.4782,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-08,13.4526,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-09,13.3266,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-10,13.4579,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-11,13.5316,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-12,13.3635,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-13,13.3635,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-14,13.3635,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-15,13.4536,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-16,13.7055,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-17,13.7107,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-18,13.9167,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-19,13.9167,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-20,13.9167,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-21,13.9167,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-22,14.0431,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-23,13.9829,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-24,13.9829,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-25,14.0593,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-26,14.0531,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-27,14.0531,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-28,14.0531,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-29,14.1084,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-30,14.1086,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-01,14.1086,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-02,14.229,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-03,14.1115,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-04,14.1115,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-05,14.1115,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-06,14.2356,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-07,14.3852,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-08,14.3518,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-09,14.2864,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-10,14.3731,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-11,14.3731,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-12,14.3731,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
2013-05-13,14.1432,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
